Token 名称, 值, 来源类型(seed/map/alias)
colorSuccessBorder, "#274916", alias
colorSuccessBorderHover, "#306317", alias
colorSuccessHover, "#306317", alias
colorSuccessActive, "#3c8618", alias
colorSuccessTextHover, "#6abe39", alias
colorSuccessText, "#49aa19", alias
colorSuccessTextActive, "#3c8618", alias
colorErrorBg, "#2c1618", alias
colorErrorBgHover, "#451d1f", alias
colorErrorBgFilledHover, "#441e1f", alias
colorErrorBgActive, "#5b2526", alias
colorErrorBorder, "#5b2526", alias
colorErrorBorderHover, "#7e2e2f", alias
colorErrorHover, "#e86e6b", alias
colorErrorActive, "#ad393a", alias
colorErrorTextHover, "#e86e6b", alias
colorErrorText, "#dc4446", alias
colorErrorTextActive, "#ad393a", alias
colorWarningBg, "#2b2111", alias
colorWarningBgHover, "#443111", alias
colorWarningBorder, "#594214", alias
colorWarningBorderHover, "#7c5914", alias
colorWarningHover, "#7c5914", alias
colorWarningActive, "#aa7714", alias
colorWarningTextHover, "#e8b339", alias
colorWarningText, "#d89614", alias
colorWarningTextActive, "#aa7714", alias
colorInfoBg, "#111a2c", alias
colorInfoBgHover, "#112545", alias
colorInfoBorder, "#15325b", alias
colorInfoBorderHover, "#15417e", alias
colorInfoHover, "#15417e", alias
colorInfoActive, "#1554ad", alias
colorInfoTextHover, "#3c89e8", alias
colorInfoText, "#1668dc", alias
colorInfoTextActive, "#1554ad", alias
colorLinkHover, "#15417e", alias
colorLinkActive, "#1554ad", alias
colorBgMask, "rgba(0，0，0，0.45)", alias
colorWhite, "#fff", alias
fontSizeSM, "12", alias
fontSizeLG, "16", alias
fontSizeXL, "20", alias
fontSizeHeading1, "38", alias
fontSizeHeading2, "30", alias
fontSizeHeading3, "24", alias
fontSizeHeading4, "20", alias
fontSizeHeading5, "16", alias
lineHeight, "1.5714285714285714", alias
lineHeightLG, "1.5", alias
lineHeightSM, "1.6666666666666667", alias
fontHeight, "22", alias
fontHeightLG, "24", alias
fontHeightSM, "20", alias
lineHeightHeading1, "1.2105263157894737", alias
lineHeightHeading2, "1.2666666666666666", alias
lineHeightHeading3, "1.3333333333333333", alias
lineHeightHeading4, "1.4", alias
lineHeightHeading5, "1.5", alias
sizeXXL, "48", alias
sizeXL, "32", alias
sizeLG, "24", alias
sizeMD, "20", alias
sizeMS, "16", alias
size, "16", alias
sizeSM, "12", alias
sizeXS, "8", alias
sizeXXS, "4", alias
controlHeightSM, "24", alias
controlHeightXS, "16", alias
controlHeightLG, "40", alias
motionDurationFast, "0.1s", alias
motionDurationMid, "0.2s", alias
motionDurationSlow, "0.3s", alias
lineWidthBold, "2", alias
