Token 名称, 值, 来源类型(seed/map/alias)
yellow8, "#ad8b00", alias
yellow-9, "#876800", alias
yellow9, "#876800", alias
yellow-10, "#614700", alias
yellow10, "#614700", alias
volcano-1, "#fff2e8", alias
volcano1, "#fff2e8", alias
volcano-2, "#ffd8bf", alias
volcano2, "#ffd8bf", alias
volcano-3, "#ffbb96", alias
volcano3, "#ffbb96", alias
volcano-4, "#ff9c6e", alias
volcano4, "#ff9c6e", alias
volcano-5, "#ff7a45", alias
volcano5, "#ff7a45", alias
volcano-6, "#fa541c", alias
volcano6, "#fa541c", alias
volcano-7, "#d4380d", alias
volcano7, "#d4380d", alias
volcano-8, "#ad2102", alias
volcano8, "#ad2102", alias
volcano-9, "#871400", alias
volcano9, "#871400", alias
volcano-10, "#610b00", alias
volcano10, "#610b00", alias
geekblue-1, "#f0f5ff", alias
geekblue1, "#f0f5ff", alias
geekblue-2, "#d6e4ff", alias
geekblue2, "#d6e4ff", alias
geekblue-3, "#adc6ff", alias
geekblue3, "#adc6ff", alias
geekblue-4, "#85a5ff", alias
geekblue4, "#85a5ff", alias
geekblue-5, "#597ef7", alias
geekblue5, "#597ef7", alias
geekblue-6, "#2f54eb", alias
geekblue6, "#2f54eb", alias
geekblue-7, "#1d39c4", alias
geekblue7, "#1d39c4", alias
geekblue-8, "#10239e", alias
geekblue8, "#10239e", alias
geekblue-9, "#061178", alias
geekblue9, "#061178", alias
geekblue-10, "#030852", alias
geekblue10, "#030852", alias
gold-1, "#fffbe6", alias
gold1, "#fffbe6", alias
gold-2, "#fff1b8", alias
gold2, "#fff1b8", alias
gold-3, "#ffe58f", alias
gold3, "#ffe58f", alias
gold-4, "#ffd666", alias
gold4, "#ffd666", alias
gold-5, "#ffc53d", alias
gold5, "#ffc53d", alias
gold-6, "#faad14", alias
gold6, "#faad14", alias
gold-7, "#d48806", alias
gold7, "#d48806", alias
gold-8, "#ad6800", alias
gold8, "#ad6800", alias
gold-9, "#874d00", alias
gold9, "#874d00", alias
gold-10, "#613400", alias
gold10, "#613400", alias
lime-1, "#fcffe6", alias
lime1, "#fcffe6", alias
lime-2, "#f4ffb8", alias
lime2, "#f4ffb8", alias
lime-3, "#eaff8f", alias
lime3, "#eaff8f", alias
lime-4, "#d3f261", alias
lime4, "#d3f261", alias
lime-5, "#bae637", alias
lime5, "#bae637", alias
lime-6, "#a0d911", alias
lime6, "#a0d911", alias
lime-7, "#7cb305", alias
lime7, "#7cb305", alias
lime-8, "#5b8c00", alias
lime8, "#5b8c00", alias
lime-9, "#3f6600", alias
lime9, "#3f6600", alias
lime-10, "#254000", alias
lime10, "#254000", alias
colorText, "rgba(0，0，0，0.88)", alias
colorTextSecondary, "rgba(0，0，0，0.65)", alias
colorTextTertiary, "rgba(0，0，0，0.45)", alias
colorTextQuaternary, "rgba(0，0，0，0.25)", alias
colorFill, "rgba(0，0，0，0.15)", alias
colorFillSecondary, "rgba(0，0，0，0.06)", alias
colorFillTertiary, "rgba(0，0，0，0.04)", alias
colorFillQuaternary, "rgba(0，0，0，0.02)", alias
colorBgSolid, "rgb(0，0，0)", alias
colorBgSolidHover, "rgba(0，0，0，0.75)", alias
colorBgSolidActive, "rgba(0，0，0，0.95)", alias
colorBgLayout, "#f5f5f5", alias
colorBgContainer, "#ffffff", alias
colorBgElevated, "#ffffff", alias
colorBgSpotlight, "rgba(0，0，0，0.85)", alias
colorBgBlur, "transparent", alias
colorBorder, "#d9d9d9", alias
colorBorderSecondary, "#f0f0f0", alias
colorPrimaryBg, "#e6f4ff", alias
colorPrimaryBgHover, "#bae0ff", alias
colorPrimaryBorder, "#91caff", alias
colorPrimaryBorderHover, "#69b1ff", alias
colorPrimaryHover, "#4096ff", alias
colorPrimaryActive, "#0958d9", alias
colorPrimaryTextHover, "#4096ff", alias
colorPrimaryText, "#1677ff", alias
colorPrimaryTextActive, "#0958d9", alias
colorSuccessBg, "#f6ffed", alias
colorSuccessBgHover, "#d9f7be", alias
colorSuccessBorder, "#b7eb8f", alias
colorSuccessBorderHover, "#95de64", alias
colorSuccessHover, "#95de64", alias
colorSuccessActive, "#389e0d", alias
colorSuccessTextHover, "#73d13d", alias
colorSuccessText, "#52c41a", alias
colorSuccessTextActive, "#389e0d", alias
colorErrorBg, "#fff2f0", alias
colorErrorBgHover, "#fff1f0", alias
colorErrorBgFilledHover, "#ffdfdc", alias
colorErrorBgActive, "#ffccc7", alias
colorErrorBorder, "#ffccc7", alias
colorErrorBorderHover, "#ffa39e", alias
colorErrorHover, "#ff7875", alias
colorErrorActive, "#d9363e", alias
colorErrorTextHover, "#ff7875", alias
colorErrorText, "#ff4d4f", alias
colorErrorTextActive, "#d9363e", alias
colorWarningBg, "#fffbe6", alias
colorWarningBgHover, "#fff1b8", alias
colorWarningBorder, "#ffe58f", alias
colorWarningBorderHover, "#ffd666", alias
colorWarningHover, "#ffd666", alias
colorWarningActive, "#d48806", alias
colorWarningTextHover, "#ffc53d", alias
colorWarningText, "#faad14", alias
colorWarningTextActive, "#d48806", alias
colorInfoBg, "#e6f4ff", alias
colorInfoBgHover, "#bae0ff", alias
colorInfoBorder, "#91caff", alias
colorInfoBorderHover, "#69b1ff", alias
colorInfoHover, "#69b1ff", alias
colorInfoActive, "#0958d9", alias
colorInfoTextHover, "#4096ff", alias
colorInfoText, "#1677ff", alias
colorInfoTextActive, "#0958d9", alias
colorLinkHover, "#69b1ff", alias
colorLinkActive, "#0958d9", alias
colorBgMask, "rgba(0，0，0，0.45)", alias
colorWhite, "#fff", alias
fontSizeSM, "12", alias
fontSizeLG, "16", alias
fontSizeXL, "20", alias
fontSizeHeading1, "38", alias
fontSizeHeading2, "30", alias
fontSizeHeading3, "24", alias
fontSizeHeading4, "20", alias
fontSizeHeading5, "16", alias
lineHeight, "1.5714285714285714", alias
lineHeightLG, "1.5", alias
lineHeightSM, "1.6666666666666667", alias
fontHeight, "22", alias
fontHeightLG, "24", alias
fontHeightSM, "20", alias
lineHeightHeading1, "1.2105263157894737", alias
lineHeightHeading2, "1.2666666666666666", alias
lineHeightHeading3, "1.3333333333333333", alias
lineHeightHeading4, "1.4", alias
lineHeightHeading5, "1.5", alias
sizeXXL, "48", alias
sizeXL, "32", alias
sizeLG, "24", alias
sizeMD, "20", alias
sizeMS, "16", alias
size, "16", alias
sizeSM, "12", alias
sizeXS, "8", alias
sizeXXS, "4", alias
controlHeightSM, "24", alias
controlHeightXS, "16", alias
controlHeightLG, "40", alias
motionDurationFast, "0.1s", alias
motionDurationMid, "0.2s", alias
motionDurationSlow, "0.3s", alias
lineWidthBold, "2", alias
borderRadiusXS, "2", alias
